S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
99,Malur PS,0482/2023,20-11-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,20-11-2023,08:30,Malur hosur road ramegown kalyan mantapa malur,RURAL,MDR,T/W,T/W,,,27,,,,,,30,,,,
100,Malur PS,0490/2023,03-12-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,02-12-2023,23:30,Malur hoskote road kesari mill malur Town,urban,SH,AUTO,LORRY,,,,,,,        ,,40,,,,
101,Malur PS,0494/2023,06-12-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,05-12-2023,11:40,Abbenahalli village malur taluk,RURAL,VR,T/W,T/W,,,,,38,,,,35,,,,
102,Malur PS,0498/2023,09-12-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,09-12-2023,13:35,Royal treders Malur Hoskote road malur town,urban,SH,T/W,LORRY,57,,,,,,,,40,,,,
103,Malur PS,0500/2023,13-12-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,08-12-2023,16:00,Masthi Malur Indumangala near malur taluk,RURAL,MDR,T/W,JEEP,,,,,40,35,,,41,,,,
104,Malur PS,0501/2023,13-12-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,13-12-2023,17:00,Shetty brick factory tekal road malur town,urban,SH,T/W,CAR,28,,,,,,,,45,,,,
105,Malur PS,0502/2023,16-12-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-12-2023,10:20,NH 207 Baguru Anchemuskuru near malur taluk,RURAL,NH,T/W,CONTAINER,,,40,,,,,,35,,,,
106,Malur PS,0503/2023,19-12-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,18-12-2023,18:19,Eshwari wines Hosur road malur town,URBAN,MDR,T/W,LORRY,30,,,,,,,,42,,,,
107,Malur PS,0505/2023,22-12-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,21-12-2023,13:00,seethanayakanahlli near malur-hosur road malur taluk,RURAL,MDR,LORRY,LORRY,45,,,,,,,,46,,,,
108,Malur PS,0509/2023,25-12-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,24-12-2023,20:00,Nandini duba near Tekal malur town,urban,SH,AUTO,CAR,30,,,,,,,,35,,,,
109,Malur PS,0511/2023,26-12-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Places,25-12-2023,19:40,Siddeshwara HP Petrile Bunk near yattakodi malur taluk,RURAL,VR,PEDESTRIAN,LORRY,41,,,,,,41,,46,,,,
110,Malur PS,0512/2023,26-12-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,26-12-2023,09:15,Malur Hosur  road  Almbadi gate malur taluk,RURAL,MDR,lorry,LORRY,,,,,,,,,36,,,,
1,Masti PS,0001/2023,01-01-2023,"IPC 1860 U/s: 279,304A",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,01-01-2023,15:00,MAKARAHALLI Tekal (H) Malur TQ  ,RURAL,TOWN ,T/W,T/W,29,,,,,,,,,29,,,
2,Masti PS,0003/2023,10-01-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-02-2022,16:30,"KONDASHETTAHALLI  village, Masthi (H) Malur tq ",RURAL,VR,T/W,T/W,,,,,22,,,,,,,,
3,Masti PS,0013/2023,04-02-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181(3),146",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,03-02-2023,16:30,DUDAVANAHALLIMasthi (H) Malur tq  ,RURAL,OTHER ROAD,T/W,T/W,19,,,,,,,,,,,,
4,Masti PS,0017/2023,20-02-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,19-02-2023,17:20,TEKAL RAILWAY BRIDGE NEAR ,RURAL,SH,T/W,CAR,,, 30   22 ,,,,,,,,,,
5,Masti PS,0035/2023,13-03-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13-03-2023,10:10,kanchala gate ,RURAL,OTHER ROAD,T/W,T/W,18,,,,,,,,,,,,
6,Masti PS,0045/2023,30-03-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-03-2023,22:00,"Thoralakki village, Malur tq ",RURAL,VR,BOLERO,JEEP,,,"30, 22, ",27,"31, 21",,,,,,,,
7,Masti PS,0050/2023,13-04-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,12-04-2023,10:00,HULADENAHALLI-BALLAHALLI CROSS ,RURAL,VR,T/W,SELF,55,,,,,,,,55,,,,
8,Masti PS,0055/2023,25-04-2023,"IPC 1860 U/s: 337,279,177",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,24-04-2023,19:00,"AGARA-NARAYANAPURA GATE, ",RURAL,SH,T/W,LORRY ,,,,,45,,,,,,,,
9,Masti PS,0056/2023,25-04-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-04-2023,11:30,TEKAL- BANGARPET ROAD ,RURAL,SH,T/W,LORRY ,,,,,43,,,,,,,,
10,Masti PS,0059/2023,06-05-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,03-05-2023,21:15,"GOPALAPPA CHOWLTRI MASTHI VILLAGE, MALUR TQ ",RURAL,OTHER ROAD,PEDESTRIAN,T/W,,,,,27,,27,,,,,,
11,Masti PS,0067/2023,19-05-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 128 (A),194C",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,18-05-2023,13:00,"MASTHI- MALUR ROAD, ANNAPURNESHWARI HOTAL ",RURAL,SH,T/W,T/W,,,,,30,,,,,,,,
12,Masti PS,0069/2023,22-05-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,21-05-2023,10:45,MASTHI- MALUR RAJAKALUVE NEAR ,RURAL,SH,TEMPO,AUTO ,,,25,,31,,,,,,,,
13,Masti PS,0082/2023,14-06-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-06-2023,19:00,HASANDAHALLI BUS STAND ,RURAL,OTHER ROAD,T/W,BUS,,,52,,,36,,,,,,,
14,Masti PS,0100/2023,06-07-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,03-07-2023,20:20,"BIYAPPANAHALLI, MASTHI HOBALI, MALUR TQ `",RURAL,VR,T/W,SELF,32,,,,,,,,,,,,
15,Masti PS,0105/2023,11-07-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,09-07-2023,16:30,GOPASANDRA VILLAGE ,RURAL,OTHER ROAD,T/W,T/W,,,40,,,,,,,,,,
16,Masti PS,0112/2023,17-07-2023,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-07-2023,19:30,"HASANDAHALLI ROAD, MASTHI VILLAGE ",RURAL,OTHER ROAD,PEDESTRIAN,CAR,,,25,,,,25,,,,,,
17,Masti PS,0117/2023,22-07-2023,"IPC 1860 U/s: 337,279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,21-07-2023,17:30,BANDAHATTI  CROSS ,RURAL,OTHER ROAD,T/W,T/W,45,,,,,,,,,,,,
18,Masti PS,0130/2023,06-08-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,30-07-2023,19:05,"Tekal, Somasndra Gate, Near Narayanaswami Land`",RURAL,VR,T/W,SELF,36,,,,,,,,,,,,
19,Masti PS,0134/2023,10-08-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,06-08-2023,09:30,"Chikkanayakanahalli Village,Near Ganagamma Teple ",RURAL,VR,T/W,SELF,11,,,,,,,,,,,,
20,Masti PS,0136/2023,13-08-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,11-08-2023,17:00,"Tekal village, Malur Taluku",RURAL,SH,PEDESTRIAN,T/W,,,,,80,,80,,,,,,
21,Masti PS,0146/2023,31-08-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-08-2023,16:00,"Pemmadoddi village, Masthi Hobali",RURAL,VR,T/W,Lorry,,,40,,,,,,,,,,
22,Masti PS,0151/2023,14-09-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-09-2023,17:00,"K.G HALLI, TEKAL HOBALI, MALUR TQ ",RURAL,SH,PEDESTRIAN,CAR,,,29,,,,29,,29,,,,
23,Masti PS,0157/2023,26-09-2023,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,26-09-2023,17:00,"MITTIGANAHALLI CROSS, TEKAL HOBALI, MALUR TALUK",RURAL,VR,T/W,EICHER,19,,19,,,,,,,,,,
24,Masti PS,0163/2023,06-10-2023,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,06-10-2023,13:50,"KESRAGERE GATE, MASTHI HOBALI, MALUR TALUK",RURAL,VR,CAR,CAR,40,,,,,,,,28,,,,
25,Masti PS,0165/2023,09-10-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,09-10-2023,09:30,"NAGADENAHALLI , MARIYAMMA TEMPLE",RURAL,VR,AUTO,AUTO,43,,,,,,,,,,,,
26,Masti PS,0188/2023,22-11-2023,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,22-11-2023,15:40,"CHIKKADANAVAHALLI, MASTHI HOBALI, MALUR TQ ",RURAL,OTHER ROAD,T/W,BUS,70,,,,,,,,30,,,,
27,Masti PS,0193/2023,25-11-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-11-2023,15:45,"VEERAKAPUTHRA GATE, TEKAL HOBALI, MALUR TQ ",RURAL,SH,T/W,T/W,,,,,25,,,,40,,,,
28,Masti PS,0202/2023,03-12-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-10-2023,10:00,"NEAR BANDURU AGRAHARA GATE, TEKLA BANAGARAPET ROAD ",RURAL,SH,T/W,LORRY,,,,,34,,,,30,,,,
29,Masti PS,0207/2023,13-12-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,10-12-2023,16:30,MASTHI - TURUNISI ROAD,RURAL,OTHER ROAD,T/W,CAR,,,,,"17, 55",,,,40,,,,
1,Mulbagal Rural PS,0001/2023,01-01-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,31-12-2022,18:00,Kavathanahalli,RURAL,NH,T/W,Tractor,42,,,,,,,,,49,,,
2,Mulbagal Rural PS,0003/2023,03-01-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-01-2023,16:00,Doddagurki Cross,RURAL,NH,T/W,CAR,,,40,,,,,,,,,,
3,Mulbagal Rural PS,0012/2023,17-01-2023,"IPC 1860 U/s: 279,338, 304(a)  INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,177",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,16-01-2023,19:00,Sangasandra near,RURAL,VR,T/w,Tractor,34,,,,,,,,,45,,,
4,Mulbagal Rural PS,0015/2023,19-01-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,17-01-2023,19:30,Oorukunte,RURAL,VR,T/W,Tractor,,,25,,,,,,,32,,,
5,Mulbagal Rural PS,0022/2023,22-01-2023,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-01-2023,07:30,Kurubarahalli gate,RURAL,NH,Self,CAR,,,,,,,,,,22,,,
6,Mulbagal Rural PS,0023/2023,23-01-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-01-2023,16:00,Devarayasamudra gate ,RURAL,NH,PEDESTRIAN,T/W,,,,41,,,,41,,20,,,
7,Mulbagal Rural PS,0025/2023,26-01-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,22-01-2023,16:50,Nalluru gate,RURAL,NH,T/W,CAR,,,30,25,,,,,,,,,
8,Mulbagal Rural PS,0026/2023,26-01-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,26-01-2023,17:45,Kurubarahalli gate,RURAL,NH,CAR,CAR,,,61,55,,,,,,,,,
9,Mulbagal Rural PS,0028/2023,30-01-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,18-01-2023,12:40,Bevahalli gate,RURAL,NH,T/W,EICHER,,,36,,8,30,,,,,,,
10,Mulbagal Rural PS,0032/2023,07-02-2023,"IPC 1860 U/s: 304(A),337,279,201 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 189",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,06-02-2023,04:00,Devarayasamudra gate ,RURAL,SH,PASSANGER,Auto,24,,,,,,,,"21, 26, 25",,,,
11,Mulbagal Rural PS,0033/2023,07-02-2023,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-01-2023,14:30,Allalasandra gate,RURAL,NH,PASSANGER,Car,,,,,67,"58, 30",,,31,,,,
12,Mulbagal Rural PS,0040/2023,14-02-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,13-02-2023,14:30,Allalasandra gate,RURAL,NH,PASSANGER,Car,,,,,"66, 50",62,,,,,,,
13,Mulbagal Rural PS,0050/2023,24-02-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,23-02-2023,21:45,Seegenahalli HP Petrol bunk near,RURAL,NH,PEDESTRIAN,NOT KNOWN,35,,,,,,35,,UNKNOWN,,,,
14,Mulbagal Rural PS,0053/2023,28-02-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,19-02-2023,17:00,Vammasandra,RURAL,NH,Self,T/W,21,,,,,,,,,,,,
15,Mulbagal Rural PS,0054/2023,28-02-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-02-2023,19:30,jmmanahalli,RURAL,OTHER ROAD,T/W,T/W,,,23,,,,,,,,,,
16,Mulbagal Rural PS,0055/2023,01-03-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 180,181,3",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-02-2023,18:00,Khadripura gate,Rural,MDR,Car,T/W,,,32,,,,,,28,,,,
17,Mulbagal Rural PS,0058/2023,02-03-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,01-03-2023,12:00,Devarayasamudra gate,Rural,NH,PEDESTRIAN,Eicher,,,70,,,,70,,30,,,,
18,Mulbagal Rural PS,0060/2023,05-03-2023,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,04-03-2023,20:30,Thimmaravuthanahalli,Rural,NH,Self,T/W,30,,,,,,,,30,,,,
19,Mulbagal Rural PS,0062/2023,05-03-2023,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,04-03-2023,11:00,Kantharaj circle,Rural,NH,Lorry,Lorry,,,40,,,,,,28,,,,
20,Mulbagal Rural PS,0065/2023,09-03-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,08-03-2023,15:20,Hanumanahalli Toll,Rural,NH,Auto,Bus (private),,,36,,36,,,,40,,,,
21,Mulbagal Rural PS,0068/2023,12-03-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,10-03-2023,22:45,Mopurahalli,Rural,NH,Self,T/W,27,,,,28,,,,,,,,
22,Mulbagal Rural PS,0070/2023,13-03-2023,"IPC 1860 U/s: 337,279,304(A),338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,180,181,146",MOTOR VEHICLE ACCIDENTS FATAL,Other Places,12-03-2023,17:15,Channapura gate,Rural,VR,T/w,T/W,20,,,,,,,,,,,,
23,Mulbagal Rural PS,0082/2023,21-03-2023,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,20-03-2023,22:00,Kappalamadagu,Rural,NH,PEDESTRIAN,NOT KNOWN,45,,,,,,45,,UNKNOWN,,,,
24,Mulbagal Rural PS,0085/2023,22-03-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,18-03-2023,16:00,Jammanahalli,Rural,NH,T/w,Auto,,,16,,,,,,,,,,
25,Mulbagal Rural PS,0086/2023,23-03-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,22-03-2023,17:15,Mopurahalli,Rural,NH,T/w,T/W,,,28,,,,,,,,,,
26,Mulbagal Rural PS,0087/2023,25-03-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-03-2023,20:00,Allalasandra gate,Rural,NH,T/w,TRUCK,,,38,,,,,,35,,,,
27,Mulbagal Rural PS,0095/2023,01-04-2023,"IPC 1860 U/s: 279,338,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,31-03-2023,19:30,Devarayasamudra gate,RURAL,NH,T/W,T/W,29,,,34,,,,,,,,,
28,Mulbagal Rural PS,0104/2023,08-04-2023,"IPC 1860 U/s: 279,337,304(A),338",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,07-04-2023,17:30,Kappalamadagu,RURAL,NH,Auto,BOLERO,30,,,37,,,,,30,,,,
29,Mulbagal Rural PS,0105/2023,08-04-2023,"IPC 1860 U/s: 279,337,304(A),338",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,05-04-2023,14:30,Oorukunte-mitturu,RURAL,OTHER ROAD,T/w,T/W,30,,,,,,,,,,,,
30,Mulbagal Rural PS,0108/2023,14-04-2023,"IPC 1860 U/s: 337,279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,13-04-2023,14:30,Kantharaj circle,RURAL,NH,PEDESTRIAN,Car,42,,,,,,42,,28,,,,
31,Mulbagal Rural PS,0124/2023,20-04-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,19-04-2023,12:00,Vajranagenahalli cross,RURAL,NH,T/w,NOT KNOWN ,,,,,,35,,,UNKNOWN,,,,
32,Mulbagal Rural PS,0126/2023,24-04-2023,"IPC 1860 U/s: 337,279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,23-04-2023,19:30,Darenahalli,RURAL,NH,T/W,Auto,,,,24,22,,,,,,,,
33,Mulbagal Rural PS,0130/2023,28-04-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,26-04-2023,16:00,Kasheepura,RURAL,SH,Self,Car,,,30,,,,,,37,,,,
34,Mulbagal Rural PS,0135/2023,29-04-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-04-2023,15:30,Khadripura gate,RURAL,MDR,T/w,Tractor,,,,46,70,,,,28,,,,
35,Mulbagal Rural PS,0136/2023,29-04-2023,"IPC 1860 U/s: 279,337,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 338",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29-04-2023,11:30,Kantharaj circle,RURAL,NH,Car,Canter,27,,,"35, 30, 32",28,,,,30,,,,
36,Mulbagal Rural PS,0137/2023,02-05-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,01-05-2023,08:00,Devarayasamudra gate,Rural,NH,T/W,T/W,,34,,,48,5,,,36,,,,
37,Mulbagal Rural PS,0142/2023,06-05-2023,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,06-05-2023,14:00,Mallasandra gate,Rural,NH,T/W,Car,45,,,,55,,,,52,,,,
38,Mulbagal Rural PS,0145/2023,10-05-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,181,3 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-05-2023,19:20,V guttahalli gate,Rural,NH,T/W,Tempo,,,17,25,,,,,,,,,
39,Mulbagal Rural PS,0146/2023,12-05-2023,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,11-05-2023,18:00,Kantharaj circle,Rural,NH,T/W,Car,60,,,,,,,,57,,,,
40,Mulbagal Rural PS,0147/2023,12-05-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,11-05-2023,15:00,Devarayasamudra gate,Rural,NH,Self,Car,,,30,"26, 2",,,,,28,,,,
41,Mulbagal Rural PS,0150/2023,18-05-2023,"IPC 1860 U/s: 279,337,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,17-05-2023,17:00,Khadripura,Rural,NH,T/w,Car,,,45,47,,,,,32,,,,
42,Mulbagal Rural PS,0153/2023,25-05-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,180,3",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,25-05-2023,19:15,Kappalamadagu,Rural,NH,T/w,T/W,,,,,30,26,,,,,,,
43,Mulbagal Rural PS,0158/2023,04-06-2023,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Places,04-06-2023,08:00,KURUBARAHALLI MN HALLI,Rural,NH,T/W,TATA SUMO,,,,,"19, 20",,,,,,,,
44,Mulbagal Rural PS,0172/2023,18-06-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,18-06-2023,14:30,Seegenahalli u turn,Rural,NH,Eicher,Lorry,,,,,"28, 36, 42",,,,28,,,,
45,Mulbagal Rural PS,0173/2023,22-06-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,181,3 IPC 1860 U/s: 338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,20-06-2023,07:00,Ramapura,Rural,NH,T/W,T/W,,,"30, 56",,,,,,,,,,
46,Mulbagal Rural PS,0179/2023,30-06-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,27-06-2023,07:00,khadripura gate,Rural,MDR,PEDESTRIAN,T/W,,,45,,,,45,,,,,,
47,Mulbagal Rural PS,0182/2023,04-07-2023,"IPC 1860 U/s: 279,337,338 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,03-07-2023,19:30,Mallasandra,Rural,NH,PEDESTRIAN,T/W,,,52,,,,52,,29,,,,
48,Mulbagal Rural PS,0204/2023,26-07-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,25-07-2023,15:45,Hanumanahalli Lanco tol,Rural,NH,T/W,NOT KNOWN,60,,,,,,,,UNKNOWN,,,,
49,Mulbagal Rural PS,0216/2023,07-08-2023,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,05-08-2023,15:20,HANUMANAHALLI,Rural,NH,T/W,T/W,,,,,"45, 45",,,,,,,,
50,Mulbagal Rural PS,0227/2023,18-08-2023,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,12-08-2023,19:30,SONNAVADI,Rural,NH,T/W,CAR,,,,,29,,,,,,,,
